feature,importance_mean,importance_sd
n_motorcycles,0.022688631279235223,0.001135683800058545
n_cars_taxis,0.02208346354360428,0.0042237694883613085
number_of_vehicles,0.009516609870186469,0.0025392464010398916
vehicle_record_count,0.008272345322598906,0.0017703084932127126
road_type,0.005430041121643581,0.0011578725139598377
urban_or_rural_area,0.0053911516540424325,0.00042023788485857526
n_pedal_cycles,0.005389365913183175,0.000689789777793694
latitude,0.004933009915822091,0.00048200703720772866
max_driver_age,0.004342723354018085,0.0006549870442551835
light_conditions,0.0038649384663461683,0.0005463928249376084
police_force,0.003562949845483702,0.0005761222482202104
speed_limit,0.003514933257935319,6.062758970346236e-05
vehicle_type_nunique,0.003461559447809126,0.002377147820080254
n_goods_vehicles,0.002542498152254158,0.0003643593207748209
weather_conditions,0.002377614746251052,0.00048081864561371894
trunk_road_flag,0.0022875340406850464,0.00024022375515905356
junction_control,0.002164714752699637,0.0013304856722011872
local_authority_highway,0.001950425849590931,7.728945446543214e-05
mean_vehicle_age,0.0014625217637166399,0.00016330463920436283
hour,0.0011271993134817822,0.0004348982308212792
max_vehicle_age,0.001017475458464016,0.00036699966325883686
road_surface_conditions,0.0009246169337836507,0.0002824216622223861
is_night,0.0008799734123026889,0.00030949267328265003
any_older_driver_65_plus,0.0008254091082703733,0.0004138635628646742
traffic_cars_taxis_share,0.0008121152596516357,0.0002102844603616429
is_weekend,0.0006851292429946124,0.0003110725874743885
day_of_week,0.0006710417317717562,0.0001846585719806955
mean_driver_age,0.0006202473251089025,0.0006589710870479499
pedestrian_crossing,0.0006043740730267885,0.0004428440866613486
traffic_all_motor_vehicles_per_km,0.0005996120974021135,5.433256751332825e-05
longitude,0.0005101266387890954,0.000606869570512552
first_road_class,0.00033829868500020083,0.00013987276101313739
any_young_driver_17_24,0.00031309989731979443,0.00026168308988811667
special_conditions_at_site,0.00030635376518491536,7.645210194485487e-05
month,0.00019107427193842952,0.00024655633692630114
carriageway_hazards,6.289776137539486e-05,7.508190857849583e-05
n_buses_minibuses,2.1825721612837395e-05,0.0001529003417393968
traffic_all_motor_vehicles,-0.0001065492046013287,0.0007623210392844979
junction_detail,-0.00023968610644020671,0.0016733957950885894
min_driver_age,-0.00034861629885378037,0.000858222167876397
traffic_link_length_km,-0.0007946546823614694,0.0008983611685123306
