feature,importance_mean,importance_sd
n_cars_taxis,0.025154243366716844,0.001447938213366251
n_motorcycles,0.015812735308561254,0.0008994181461033368
vehicle_record_count,0.010921293471629123,0.0005151862378904304
number_of_vehicles,0.010742719385705257,0.0025306924210182213
road_type,0.0037619607434635216,0.0005214363308976844
speed_limit,0.0034345749192697395,6.66676587449122e-05
latitude,0.0028619473504071236,0.00042024434887422135
vehicle_type_nunique,0.0028039107724818213,0.0013175791306418438
max_driver_age,0.002371166237592981,0.001218172889477509
mean_driver_age,0.0020509233768360446,6.756052917461508e-05
light_conditions,0.0018152055834165792,0.0004098275271953722
hour,0.0017783002723255614,0.00030089733478172453
urban_or_rural_area,0.0014955579696127597,0.001995565410199629
weather_conditions,0.0012163871486183808,0.00015565707823039787
n_pedal_cycles,0.0010651944225361643,5.0893614488289884e-05
first_road_class,0.0010556704712868514,7.708448042387239e-05
local_authority_highway,0.0009759073795742035,1.5774044256677833e-05
trunk_road_flag,0.0009154898138366563,0.00014821649131685488
is_weekend,0.0007000104168217725,4.345302757491343e-05
n_goods_vehicles,0.0006747124213158928,5.267935534747359e-05
is_night,0.0006467358145211821,0.0002413726394738247
any_young_driver_17_24,0.0005104242622659405,1.2797809491205125e-05
special_conditions_at_site,0.00048334052590076615,8.809654905578279e-05
day_of_week,0.0004544710486764636,0.00037054122829205394
pedestrian_crossing,0.0003622077709490301,7.351299870533845e-05
n_buses_minibuses,0.00015952618342546243,2.916710070083317e-05
carriageway_hazards,0.00014077590440353394,7.232250479916047e-05
traffic_all_motor_vehicles_per_km,8.631080819776482e-06,0.0005038765457819339
any_older_driver_65_plus,-4.1667286715396656e-05,3.750055804396801e-05
road_surface_conditions,-5.1786484917770714e-05,4.64292623402196e-05
month,-0.0001628000416671882,2.8869477224413576e-05
longitude,-0.0004616140121131429,0.0007009032872513088
max_vehicle_age,-0.0006869149838537592,0.0005232220717570346
junction_control,-0.0010080507150402318,0.0015884164942930323
traffic_cars_taxis_share,-0.0010681706573013594,0.0007997142814625269
police_force,-0.0011306715873746764,0.0011407907855771615
junction_detail,-0.0012199586303366372,0.00019196714236824342
min_driver_age,-0.0013958541049716722,0.00043393502879507384
mean_vehicle_age,-0.0015791901665202501,0.000889894194854135
traffic_all_motor_vehicles,-0.002778017530022603,0.00016666914686236378
traffic_link_length_km,-0.0064789654607954605,0.0003836366612597897
